Sl. No,Field Name,Field Type,Example
1,breadcrumbs,list,"Men,Designers,George Cleverley,Shoes,Boots,Ankle boots"
2,product_name,string,George Cleverley
1,breadcrumbs,list,"Men,Designers,Balenciaga,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Balenciaga
1,breadcrumbs,list,"Men,Designers,Loewe,Shoes,Boots,Ankle boots"
2,product_name,string,Loewe
1,breadcrumbs,list,"Men,Designers,Common Projects,Shoes,Loafers"
2,product_name,string,Common Projects
1,breadcrumbs,list,"Men,Designers,Acne Studios,Shoes,Loafers"
2,product_name,string,Acne Studios
1,breadcrumbs,list,"Men,Designers,George Cleverley,Shoes,Loafers"
2,product_name,string,George Cleverley
1,breadcrumbs,list,"Men,Designers,Bottega Veneta,Shoes,Sneakers,Low-Top"
2,product_name,string,Bottega Veneta
1,breadcrumbs,list,"Men,Designers,Balenciaga,Shoes,Boots,Ankle boots"
2,product_name,string,Balenciaga
1,breadcrumbs,list,"Men,Designers,Loewe,Shoes,Boots,Lace up boots"
2,product_name,string,Loewe
1,breadcrumbs,list,"Men,Designers,Valentino Garavani,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Valentino Garavani
1,breadcrumbs,list,"Men,Designers,Amiri,Shoes,Sneakers,Low-Top"
2,product_name,string,Amiri
1,breadcrumbs,list,"Men,Designers,Amiri,Shoes,Sneakers,Low-Top"
2,product_name,string,Amiri
1,breadcrumbs,list,"Men,Designers,Valentino Garavani,Shoes,Sneakers,Low-Top"
2,product_name,string,Valentino Garavani
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Gianvito Rossi,Shoes,Loafers"
2,product_name,string,Gianvito Rossi
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Balenciaga,Shoes,Sneakers,Low-Top"
2,product_name,string,Balenciaga
1,breadcrumbs,list,"Men,Designers,Balenciaga,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Balenciaga
1,breadcrumbs,list,"Men,Designers,Zegna,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Zegna
1,breadcrumbs,list,"Men,Designers,Balenciaga,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Balenciaga
1,breadcrumbs,list,"Men,Designers,Lanvin,Shoes,Sneakers,Low-Top"
2,product_name,string,Lanvin
1,breadcrumbs,list,"Men,Designers,Balenciaga,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Balenciaga
1,breadcrumbs,list,"Men,Designers,Zegna,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Zegna
1,breadcrumbs,list,"Men,Designers,Common Projects,Shoes,Sneakers,Designer sneakers"
2,product_name,string,Common Projects
1,breadcrumbs,list,"Men,Designers,Lemaire,Shoes,Slippers"
2,product_name,string,Lemaire
1,breadcrumbs,list,"Men,Designers,Tom Ford,Shoes,Boots,Chelsea boots"
2,product_name,string,Tom Ford
1,breadcrumbs,list,"Men,Designers,Loewe,Shoes,Boots,Ankle boots"
2,product_name,string,Loewe
1,breadcrumbs,list,"Men,Designers,Canada Goose,Shoes,Sneakers,Sports sneakers"
2,product_name,string,Canada Goose
1,breadcrumbs,list,"Men,Designers,Brunello Cucinelli,Shoes,Boots,Hiking boots"
2,product_name,string,Brunello Cucinelli
1,breadcrumbs,list,"Men,Designers,Canada Goose,Shoes,Sneakers,High-Top"
2,product_name,string,Canada Goose
1,breadcrumbs,list,"Men,Designers,Loewe,Shoes,Slippers"
2,product_name,string,Loewe
1,breadcrumbs,list,"Men,Designers,Brunello Cucinelli,Shoes,Boots,Lace up boots"
2,product_name,string,Brunello Cucinelli
1,breadcrumbs,list,"Men,Designers,Lemaire,Shoes,Sandals & slides"
2,product_name,string,Lemaire
1,breadcrumbs,list,"Men,Designers,Loewe,Shoes,Sandals & slides"
2,product_name,string,Loewe
1,breadcrumbs,list,"Men,Designers,Christian Louboutin,Shoes,Loafers"
2,product_name,string,Christian Louboutin
1,breadcrumbs,list,"Men,Designers,Canada Goose,Shoes,Sneakers,Low-Top"
2,product_name,string,Canada Goose
1,breadcrumbs,list,"Men,Designers,Manolo Blahnik,Shoes,Boots,Lace up boots"
2,product_name,string,Manolo Blahnik
1,breadcrumbs,list,"Men,Designers,Tod's,Shoes,Loafers"
2,product_name,string,Tod's
1,breadcrumbs,list,"Men,Designers,Manolo Blahnik,Shoes,Boots,Lace up boots"
2,product_name,string,Manolo Blahnik
1,breadcrumbs,list,"Men,Designers,Manolo Blahnik,Shoes,Boots,Lace up boots"
2,product_name,string,Manolo Blahnik
1,breadcrumbs,list,"Men,Designers,Manolo Blahnik,Shoes,Boots,Lace up boots"
1,breadcrumbs,list,"Men,Designers,George Cleverley,Shoes,Boots,Chelsea boots"
2,product_name,string,George Cleverley
2,product_name,string,Manolo Blahnik
1,breadcrumbs,list,"Men,Designers,Manolo Blahnik,Shoes,Boots,Lace up boots"
2,product_name,string,Manolo Blahnik
1,breadcrumbs,list,"Men,Designers,Manolo Blahnik,Shoes,Boots,Lace up boots"
2,product_name,string,Manolo Blahnik
1,breadcrumbs,list,"Men,Designers,Common Projects,Shoes,Boots,Chelsea boots"
2,product_name,string,Common Projects
1,breadcrumbs,list,"Men,Designers,Manolo Blahnik,Shoes,Boots,Lace up boots"
2,product_name,string,Manolo Blahnik
1,breadcrumbs,list,"Men,Designers,Dolce & Gabbana,Shoes,Sandals & slides"
2,product_name,string,Dolce&Gabbana
1,breadcrumbs,list,"Men,Designers,Manolo Blahnik,Shoes,Boots,Lace up boots"
2,product_name,string,Manolo Blahnik
1,breadcrumbs,list,"Men,Designers,Maison Margiela,Shoes,Sneakers,Low-Top"
2,product_name,string,Maison Margiela
1,breadcrumbs,list,"Men,Designers,Manolo Blahnik,Shoes,Sandals & slides"
2,product_name,string,Manolo Blahnik
1,breadcrumbs,list,"Men,Designers,Gianvito Rossi,Shoes,Loafers"
2,product_name,string,Gianvito Rossi
