Sl. No,Field Name,Field Type,Example
1,breadcrumbs,list,"['Men', 'Designers', 'George Cleverley', 'Shoes', 'Boots', 'Ankle boots']"
2,product_image,string,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/25/P00964653.jpg
3,brand_name,string,George Cleverley
4,product_name,string,Taron II suede lace-up boots
5,product_price,string,€ 800
6,product_id,string,P00964653
7,Description,string,None
8,Sizes,list,"['UK 6 / EU 40', 'UK 7 / EU 41', 'UK 7.5 / EU 41.5', 'UK 8 / EU 42', 'UK 8.5 / EU 42.5', 'UK 9 / EU 43', 'UK 9.5 / EU 43.5', 'UK 10 / EU 44', 'UK 10.5 / EU 44.5', 'UK 11 / EU 45', 'UK 12 / EU 46', 'UK 13 / EU 47']"
9,other_images,list,"['https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/25/P00964653_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/25/P00964653_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/25/P00964653_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/25/P00964653_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/25/P00964653_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/25/P00964653_d4.jpg']"
10,breadcrumbs,list,"['Men', 'Designers', 'Balenciaga', 'Shoes', 'Sneakers', 'Designer sneakers']"
11,product_image,string,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/80/P00636489.jpg
12,brand_name,string,Balenciaga
13,product_name,string,Runner sneakers
14,product_price,string,€ 925
15,product_id,string,P00636489
16,Description,string,"Balenciaga's Runner sneakers sport the label's signature overlay design with mesh and nylon uppers. In a multicolored design, they have a worn-in look and logo embroideries throughout."
17,Sizes,list,"['EU 39', 'EU 40', 'EU 41', 'EU 42', 'EU 43', 'EU 44', 'EU 45', 'EU 46', 'EU 47']"
18,other_images,list,"['https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/80/P00636489_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/80/P00636489_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/80/P00636489_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/80/P00636489_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/80/P00636489_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/80/P00636489_d4.jpg']"
19,breadcrumbs,list,"['Men', 'Designers', 'George Cleverley', 'Shoes', 'Loafers']"
20,product_image,string,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/c4/P00964652.jpg
21,brand_name,string,George Cleverley
22,product_name,string,Colony croc-effect leather loafers
23,product_price,string,€ 630
24,product_id,string,P00964652
25,Description,string,None
26,Sizes,list,"['UK 6 / EU 40', 'UK 7 / EU 41', 'UK 8 / EU 42', 'UK 8.5 / EU 42.5', 'UK 9 / EU 43', 'UK 9.5 / EU 43.5', 'UK 10 / EU 44', 'UK 10.5 / EU 44.5', 'UK 11 / EU 45', 'UK 12 / EU 46', 'UK 13 / EU 47']"
27,other_images,list,"['https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/c4/P00964652_b1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/c4/P00964652_b2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/c4/P00964652_d1.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/c4/P00964652_d2.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/c4/P00964652_d3.jpg', 'https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/c4/P00964652_d4.jpg']"
28,breadcrumbs,list,"['Men', 'Designers', 'Acne Studios', 'Shoes', 'Loafers']"
29,product_image,string,https://img.mytheresa.com/1094/1238/100/jpeg/catalog/product/8b/P00941995.jpg
30,brand_name,string,Acne Studios
31,product_name,string,Leather loafers
32,product_price,string,€ 495
33,product_id,string,P00941995
34,Description,string,None
35,Sizes,list,"['EU 40', 'EU 41', 'EU 42', 'EU 43', 'EU 44', 'EU 45', 'EU 46']"
